Name,Brand,Street Address 1,Street Address 2,City,State,Zip Code,Coordinate
Walgreens #21191,Walgreens,200 Rutledge Ave,,Charleston,SC,29403,"32.78978364182696, -79.94627866392001"
Walgreens #18147,Walgreens,261 Calhoun St,,Charleston,SC,29401,"32.78422846073507, -79.94517734939426"
Walgreens #15512,Walgreens,380 King St,,Charleston,SC,29401,"32.7872118418581, -79.93563262350425"
Walgreens #17043,Walgreens,1115 Old Town Rd,,Charleston,SC,29407,"32.7971496782086, -79.9957354130631"
Walgreens #15442,Walgreens,389 Johnnie Dodds Blvd,,Mount Pleasant,SC,29464,"32.805011154736164, -79.88888352615375"
Walgreens #12782,Walgreens,1925 Ashley River Rd,,Charleston,SC,29407,"32.809937831658814, -80.02344642670822"
Walgreens #15630,Walgreens,907 Folly Rd,,Charleston,SC,29412,"32.73429762302435, -79.9703806609394"
Walgreens #7156,Walgreens,1810 N Highway 17,,Mount Pleasant,SC,29464,"32.83306642893976, -79.83585204944423"
Walgreens  #11270,Walgreens,1861 Remount Rd,,North Charleston,SC,29406,"32.899623637441096, -80.01084206093454"
Walgreens #12635,Walgreens,3621 Savannah Hwy,,Johns Island,SC,29455,"32.807868299918866, -80.1106508306804"
Harris Teeter #277,Harris Teeter,290 E Bay St,,Charleston,SC,29403,"32.78784750222519, -79.92834671227126"
Harris Teeter #453,Harris Teeter,1985 Folly Rd,,Charleston,SC,29412,"32.68905969271725, -79.96253413354825"
Harris Teeter #456,Harris Teeter,1005 Harbor View Rd,,Charleston,SC,29412,"32.74334570873976, -79.93691323230175"
Harris Teeter #28,Harris Teeter,675 Folly Rd,,Charleston,SC,29412,"32.74844506892044, -79.97189143041264"
Harris Teeter #455,Harris Teeter,1739 Maybank Hwy,,Charleston,SC,29412,"32.7656338943657, -79.97647762698486"
Harris Teeter #365,Harris Teeter,975 Savannah Hwy,Ste 135,Charleston,SC,29407,"32.78265192009699, -79.98952392391324"
Harris Teeter #406,Harris Teeter,3865 W Ashley Cir,,Charleston,SC,29414,"32.82641897059947, -80.0851765744302"
Harris Teeter #410,Harris Teeter,1812 Sam Rittenberg Blvd,Ste 2,Charleston,SC,29407,"32.80776372816838, -80.01961587194546"
CVS #3564,CVS,1015 King St,,Charleston,SC,29403,"32.81030675207624, -79.95507132932696"
CVS #1039,CVS,59 George St,,Charleston,SC,29401,"32.789191224378264, -79.93588123537623"
CVS #17847,CVS,211 King St,,Charleston,SC,29401,"32.78119109124299, -79.93331854501784"
CVS #443,CVS,1739 Maybank Hwy,,Charleston,SC,29412,"32.763039108079425, -79.97557437030906"
CVS #3560,CVS,1020 Orange Grove Rd,,Charleston,SC,29407,"32.824324674171784, -79.99196878678207"
